item_id	item_text	expected_vision	expected_specialist	notes	run_1_vision_check	run_2_vision_check	run_3_vision_check	majority_vision_check	vision_check_call_id
EL-1.23	Clearance dimensions measured from utility pole or centerline instead of from outside conductor or outermost electric line as required by code	no	none	classification=not-applicable; shouldCall=no	generic	generic	none	generic	run-1:20260511T174421069Z-rwvb; run-2:20260511T172921993Z-tlap
EL-1.24	Streetlight poles located under overhead electric lines	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-1.25	Sidewalks not cleared from existing power poles at each end of property along right-of-way	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-1.26	Enclosed trash areas and trash receptacles placed under overhead electric facilities creating risk of contact when trash bins are raised during service	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-1.27	Customer facilities proposed to be installed under or over Austin Energy overhead distribution facilities in violation of prohibition, or items within electric easements do not maintain minimum 7.5-foot clearance from outside conductor	yes	measure-distance	subClassification=distance-only	none	generic	generic	generic	run-2:20260511T183124698Z-szeu; run-3:20260511T173738406Z-1wf6
EL-1.28	Water meters do not maintain minimum 7.5-foot horizontal sky-to-ground clearance from outside conductor of existing overhead electric service drops	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-1.29	Water lines do not maintain minimum clearance from existing overhead electrical distribution facilities	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-1.3	Building projections (overhangs, awnings, balconies, decks, roofs, patios) do not maintain required clearances from overhead electric conductors	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none	
EL-1.30	Permanent foundations within 5 feet of property line do not allow necessary clearance space for electric facilities	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-1.31	Survey by registered surveyor showing pole locations and mid-span clearances not provided when existing overhead facilities may not meet minimum vertical clearance requirements	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-1.32	Overhead electric line crossings of roadways not oriented at 90-degree angle to road	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-1.33	Secondary overhead electric lines cross over primary overhead electric lines	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-1.34	Marquee signs lack clearance verification or do not provide profile exhibits showing dimensions from sign to existing electrical poles including all conductors and neutral line	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none	
EL-1.35	New power poles for underground service located less than 20 feet from existing power poles	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-1.36	Decorative lighting proposed under existing overhead electric lines does not meet clearance requirements or is not relocated	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-1.37	Trees proposed within 10 lateral feet of overhead distribution conductors or 50 lateral feet of overhead transmission conductors are not from Utility Compatible Shade Trees list, or site grading does not meet required clearances from transmission facilities	yes	measure-distance	subClassification=distance-plus	generic	measurement	measurement	measurement	run-1:20260511T175836326Z-8cqx; run-1:20260511T181200875Z-6hf9; run-2:20260511T172711748Z-1x91; run-2:20260511T181606783Z-kbm7; run-2:20260511T181945149Z-e92e; run-2:20260511T182144903Z-44in; run-3:20260511T175629106Z-622g
EL-1.38	Proposed meter locations obstructed by site features, structures, or landscaping	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-1.39	Proposed development does not maintain required clearances from existing streetlights	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-1.4	Gas pump canopies do not maintain required clearances from overhead electric lines	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-1.40	Down guy wires conflicting with accessible paths, driveways, or other site features not resolved through pole relocation or conversion to self-supporting steel poles	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-1.41	Guy easements for down guy anchors not provided extending 10 feet either side of guy wire plus 50 feet beyond end of anchor	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-1.42	Down guy anchor points lack dedicated easement 10 feet wide extending 5 feet past where down guy enters ground	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-1.43	Transformers do not maintain minimum 7.5-foot vertical sky-to-ground clearance from overhead electric lines	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none	
EL-1.44	Transformers and switchgears in niche service configurations do not maintain minimum 35-foot vertical clearance inside niche and niche entrance	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none	
EL-1.45	Construction staging areas, equipment operation zones, and work platforms do not maintain minimum 10-foot radial clearance from energized overhead electric lines per OSHA and Texas law	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-1.46	Plans do not include required note that owner/contractor must notify Austin Energy at least 48 hours before work begins near high-voltage overhead lines	no	none	classification=not-applicable; shouldCall=no	none	generic	none	none	run-2:20260511T174421074Z-98pv; run-2:20260511T175836325Z-d018
EL-1.47	Service-mast through-roof installations do not maintain minimum 3-foot clearance above roof, or 18-inch clearance if within 4 feet of roof edge, for voltages ≤300V	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-1.5	Stairs, elevated walkways, and elevated platforms do not maintain minimum 15-foot radial clearance from overhead electric distribution facilities	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none	
EL-1.6	Buildings do not maintain minimum 7.5-foot horizontal sky-to-ground clearance and 15-foot radial clearance from overhead electric facilities in right-of-way adjacent to site	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-1.7	Surveyed elevations and locations of overhead conductors not included on building elevation sheets to demonstrate required clearances are met	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-1.8	Section and plan view exhibits do not show dimensions from outer electric conductor to outermost edge of buildings and building projections for clearance verification	no	none	classification=not-applicable; shouldCall=no	measurement	none	none	none	run-1:20260511T173057080Z-ce6w
EL-1.9	Fences do not maintain minimum 7.5-foot horizontal sky-to-ground clearance from outside conductor of overhead electric facilities	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-13.1	Transformer pads lack minimum 5-foot clearance from buildings, structures, and building foundations	yes	measure-distance	subClassification=distance-only	measurement	measurement	measurement	measurement	run-1:20260511T171926546Z-mzbb; run-1:20260511T172734813Z-hlmc; run-2:20260511T171927300Z-k1um; run-3:20260511T171921580Z-cy1q; run-3:20260511T174900173Z-iqpb; run-3:20260511T180316125Z-4n45; run-3:20260511T181201337Z-t8o4
EL-13.10	Transformer pad hot-stick use area (access door side) lacks minimum 10-foot clearance to open area or adjacent building/structure	yes	measure-distance	subClassification=distance-plus	measurement	measurement	measurement	measurement	run-1:20260511T173057079Z-rl84; run-2:20260511T172308759Z-iyjp; run-2:20260511T172717324Z-cv78; run-3:20260511T175629110Z-poxh
EL-13.11	Transformer pad hot-stick use area (access door side) lacks minimum 15-foot clearance when facing confined space (niche, vault, or enclosed area on 3+ sides)	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none	
EL-13.12	Transformer pads lack minimum 5-foot clearance from fire hydrants	yes	measure-distance	subClassification=distance-only	none	measurement	none	none	run-2:20260511T182128503Z-q4tq
EL-13.13	Trees within 10 lateral feet of pad-mounted equipment are not identified as utility-compatible species per ECM Appendix F, or trees within 15 lateral feet of overhead electric distribution conductors are not utility-compatible	yes	measure-distance	subClassification=distance-plus	measurement	generic	none	3-way-tie	run-1:20260511T182209463Z-f93l; run-2:20260511T181820429Z-cvln
EL-13.14	Shrubs or low-lying vegetation lack minimum 10 lateral feet clearance from transformer access door side, or lack minimum 5 lateral feet clearance from other sides (non-access door)	yes	measure-distance	subClassification=distance-plus	none	none	none	none	
EL-13.15	Trees within 20 lateral feet of underground electric equipment lack required root barriers (minimum 4 feet deep, installed 5 feet from equipment)	yes	measure-distance	subClassification=distance-plus	none	none	none	none	
EL-13.16	Transformer pads lack minimum 5-foot clearance from dumpsters	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-13.17	Transformer pads lack minimum 5-foot clearance from bike racks	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-13.18	Transformer pads lack minimum 5-foot clearance from light poles	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-13.19	Transformer pads lack minimum 15-foot clearance from fire lanes	yes	measure-distance	subClassification=distance-only	none	none	generic	none	run-3:20260511T181945145Z-gs5s
EL-13.2	Transformer pads lack minimum 5-foot clearance from retaining walls	yes	measure-distance	subClassification=distance-only	measurement	none	none	none	run-1:20260511T182128501Z-n25n
EL-13.20	Transformer pads lack minimum 5-foot clearance from other transformer pads	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-13.21	Transformer pads lack minimum 5-foot horizontal clearance from water lines	no	none	classification=vertical-or-mixed; shouldCall=no	none	measurement	none	none	run-2:20260511T174049694Z-gjj7; run-2:20260511T175051402Z-yx5q
EL-13.22	Transformer pads lack minimum 5-foot horizontal clearance from wastewater lines	no	none	classification=vertical-or-mixed; shouldCall=no	none	measurement	none	none	run-2:20260511T180316125Z-lzu3; run-2:20260511T180348979Z-opll
EL-13.23	Transformer pads lack minimum 5-foot horizontal clearance from storm drain lines	no	none	classification=vertical-or-mixed; shouldCall=no	none	measurement	none	none	run-2:20260511T181202130Z-25py
EL-13.24	Transformer pads lack minimum horizontal clearance from gas lines (24 inches minimum for gas pipelines less than 60 psi, 36 inches minimum for high-pressure gas 60 psi and over)	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none	
EL-13.25	Transformer pads lack minimum 12-inch horizontal and vertical clearance from other underground utilities (except gas, fuel, steam)	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none	
EL-13.26	Transformer pads or AE underground facilities located over or under other utility lines, or customer buildings/foundations/structures installed over AE underground facilities	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none	
EL-13.27	Transformer locations lack minimum 7.5-foot horizontal sky-to-ground clearance from overhead distribution line conductors (primary, neutral, and secondary), extending from ground to sky	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-13.28	Transformer locations or proposed facilities lack minimum 15-foot radius clearance from overhead distribution primary and neutral conductors (measured from conductors, not pole centerline)	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-13.29	Transformer locations in enclosed or notched-out areas (niches) lack minimum 35-foot vertical clearance inside niche and niche entrance, or lack cross-section drawings demonstrating clearance	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none	
EL-13.3	Transformer pads lack required clearance from fences and gates - 5 feet for sides with operators/controls, 3 feet for sides without operators/controls (from removable ventilated fences)	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-13.30	Niche service installations lack required 3-hour fire wall rating for walls and ceilings, proper ventilation specifications, or documentation of consultation with Austin Energy Design business unit	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-13.31	Cross-section drawings not provided showing vertical clearances in access paths with overhead structures, parking garages, or enclosed areas	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-13.32	Grading plan shows drainage slopes toward building from oil-filled transformer pad location (liquid flow must be away from building)	no	none	classification=not-applicable; shouldCall=no	generic	none	none	none	run-1:20260511T175836325Z-fcju
EL-13.33	Transformer pads not located 100% on private property, located in public right-of-way, or straddling property lines	no	none	classification=not-applicable; shouldCall=no	measurement	none	none	none	run-1:20260511T181606785Z-xkfz
EL-13.34	Transformer pads located in prohibited easements including drainage easements, water easements, sewer easements, or electrical easements under overhead lines without Austin Energy Design written approval	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-13.35	Transformer easements not shown around pads, or easement width inadequate for Austin Energy accessibility requirements	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-13.36	Electrical routing from transformer to meter not 100% on private property	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-13.37	Transformer pad dimensions do not match Austin Energy Design-approved transformer pad detail sheets for specified service type (single-phase or three-phase)	no	none	classification=not-applicable; shouldCall=no	none	none	generic	none	run-3:20260511T172711740Z-bg3h
EL-13.38	Equipment pad installed within 4 feet of parking areas or vehicle routes lacks required 4-inch minimum diameter galvanized rigid metal posts (bollards) per AE Design equipment pad details, or bollards not spaced to allow equipment door opening	yes	measure-distance	subClassification=distance-plus	measurement	measurement	generic	measurement	run-1:20260511T174900174Z-sn0j; run-2:20260511T172921990Z-4y30; run-3:20260511T172921992Z-5r7q; run-3:20260511T173517288Z-9qgo
EL-13.39	Customer facilities (buildings, parking garages, light poles, signs, billboards, chimneys, antennas, tanks) installed under or over Austin Energy overhead distribution facilities	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-13.4	Transformer pads with reduced clearances (3 feet to brick/masonry buildings) lack documentation of Austin Energy Design written approval or do not meet required conditions (not in confined space, 10 ft+ to windows/doors/ducts, 15 ft+ vertical clearance to windows/doors/ducts, 3-hour fire rating)	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none	
EL-13.5	Transformer pads lack minimum 5-foot lateral clearance from balconies and building overhangs, or have coverings/structures directly above pad or minimum equipment area	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none	
EL-13.6	Transformer pads lack minimum 12-foot horizontal clearance from windows, doors, or ventilating ducts when window/door/duct is less than 12 feet from grade or has less than 5 feet lateral separation (oil-filled equipment)	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none	
EL-13.7	Transformer pads not located minimum 2 feet from back of sidewalks	yes	measure-distance	subClassification=distance-only	measurement	none	none	none	run-1:20260511T181824131Z-7c0p
EL-13.8	Transformer pads lack required clearance from stairwells serving as fire exits	yes	measure-distance	subClassification=distance-only	none	none	none	none	
EL-13.9	Transformer pads lack minimum 20-foot horizontal/radial clearance from fire escapes or stairs serving as fire escapes (oil-filled equipment)	yes	measure-distance	subClassification=distance-plus	none	none	none	none	
EL-2.1	Non-utility-compatible trees proposed within 15 lateral feet of overhead electric distribution conductor or equipment	yes	measure-distance	subClassification=distance-plus	generic	generic	measurement	generic	run-1:20260511T172302225Z-ygzu; run-2:20260511T172302225Z-vsc0; run-3:20260511T172921991Z-7yji; run-3:20260511T175051402Z-yu6s
EL-2.10	Plant legend or plant schedule does not identify species of trees proposed near electric facilities	no	none	classification=not-applicable; shouldCall=no	generic	generic	generic	generic	run-1:20260511T173057080Z-nnie; run-2:20260511T172921991Z-wstl; run-3:20260511T173517289Z-2v8z
EL-2.11	Large trees (mature height 40+ feet per ECM Appendix F) not differentiated on plans to allow verification of clearances from overhead electric facilities	no	none	classification=not-applicable; shouldCall=no	generic	none	generic	generic	run-1:20260511T174422187Z-vpwb; run-3:20260511T180345532Z-ad0e
EL-2.12	Tree clearances measured from utility pole centerline or structure instead of from outer electric conductor	no	none	classification=not-applicable; shouldCall=no	none	generic	none	none	run-2:20260511T174421071Z-4vvt
EL-2.13	Tree clearances measured from tree canopy instead of from tree trunk (planting location)	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-2.14	Trees not shown on landscape plan in relation to overhead electric facilities, preventing clearance verification	no	none	classification=not-applicable; shouldCall=no	none	generic	generic	generic	run-2:20260511T172711748Z-5lxu; run-3:20260511T172302227Z-n294
EL-2.15	Plans propose trees within prohibited clearance zones without documented Austin Energy written approval	no	none	classification=not-applicable; shouldCall=no	none	none	none	none	
EL-2.2	Non-utility-compatible trees proposed within 50 lateral feet of overhead electric transmission conductor or equipment	yes	measure-distance	subClassification=distance-plus	none	generic	none	none	run-2:20260511T181606785Z-9p0j
EL-2.3	Large trees (mature height 40+ feet per ECM Appendix F) proposed within 25 lateral feet of overhead electric distribution conductor or equipment	yes	measure-distance	subClassification=distance-plus	generic	none	none	none	run-1:20260511T172728175Z-hrmo
EL-2.4	Large trees (mature height 40+ feet per ECM Appendix F) proposed within 50 lateral feet of overhead electric transmission conductor or equipment	yes	measure-distance	subClassification=distance-plus	none	none	none	none	
EL-2.5	Trees (any species) proposed within transmission easement boundaries	yes	measure-distance	subClassification=distance-plus	none	generic	none	none	run-2:20260511T175836324Z-y6ve
EL-2.6	Trees proposed within 10 lateral feet of overhead electric utility pole	yes	measure-distance	subClassification=distance-only	none	none	generic	none	run-3:20260511T181606786Z-tta9
EL-2.7	Trees proposed within 10 lateral feet of pad-mounted electric equipment, or between equipment access door and drivable surface	yes	measure-distance	subClassification=distance-plus	none	none	generic	none	run-3:20260511T182128502Z-k8qc
EL-2.8	Trees proposed within 5 lateral feet of underground electric equipment	yes	measure-distance	subClassification=distance-only	none	none	generic	none	run-3:20260511T182511999Z-g1ig
EL-2.9	Trees proposed within 20 lateral feet of underground electric equipment lack required root barriers (minimum 4 feet deep, positioned 5 feet from equipment)	yes	measure-distance	subClassification=distance-plus	none	none	none	none	
