department	checklist_item_id	run1_status	run2_status	run3_status	vote_split	majority_status	confidence	is_high_variance
crc-WQ	WQ-3.1	resolved	failed	resolved	2-1	resolved	medium	TRUE
crc-WQ	WQ-3.2	resolved	failed	resolved	2-1	resolved	medium	TRUE
crc-WQ	WQ-7	failed	failed	resolved	2-1	failed	medium	TRUE
crc-WQ	WQ-8.1	resolved	failed	resolved	2-1	resolved	medium	TRUE
crc-WQ	WQ-9	resolved	failed	resolved	2-1	resolved	medium	TRUE
crc-CA	CA-06.1	failed	missing	failed	2-0 (coverage gap)	failed	medium	FALSE
crc-CA	CA-06.2	failed	missing	failed	2-0 (coverage gap)	failed	medium	FALSE
crc-CA	CA-06.3	failed	missing	failed	2-0 (coverage gap)	failed	medium	FALSE
crc-CA	CA-07.1	failed	missing	failed	2-0 (coverage gap)	failed	medium	FALSE
crc-CA	CA-07.2	failed	missing	failed	2-0 (coverage gap)	failed	medium	FALSE
crc-CA	CA-08	failed	missing	failed	2-0 (coverage gap)	failed	medium	FALSE
crc-CA	CA-09.1	failed	missing	failed	2-0 (coverage gap)	failed	medium	FALSE
crc-CA	CA-09.2	failed	missing	failed	2-0 (coverage gap)	failed	medium	FALSE
crc-CA	CA-10.1	failed	failed	failed|failed	4-0 (dup votes)	failed	high	FALSE
crc-CA	CA-10.2	failed	failed	failed|failed	4-0 (dup votes)	failed	high	FALSE
crc-CA	CA-10.3	failed	failed	failed|failed	4-0 (dup votes)	failed	high	FALSE
crc-CA	CA-17.1	missing	missing	failed	1-0 (coverage gap)	uncertain	low	FALSE
crc-CA	CA-18.2	failed	failed	failed|failed	4-0 (dup votes)	failed	high	FALSE
crc-CA	CA-18.3	failed	failed	failed|failed	4-0 (dup votes)	failed	high	FALSE
crc-CA	CA-20.1	failed	failed	failed|failed	4-0 (dup votes)	failed	high	FALSE
crc-CA	CA-20.2	failed	failed	failed|failed	4-0 (dup votes)	failed	high	FALSE
crc-CA	CA-21.1	missing	missing	failed	1-0 (coverage gap)	uncertain	low	FALSE
crc-CA	CA-22.1	missing	missing	failed	1-0 (coverage gap)	uncertain	low	FALSE
crc-AW	AW-1.2	failed	failed	failed	3-0	failed	high	FALSE
crc-AWRR	AWRR-0	failed	failed	failed	3-0	failed	high	FALSE
crc-AWRR	AWRR-2.1	failed	failed	failed	3-0	failed	high	FALSE
crc-AWRR	AWRR-3.1	failed	failed	failed	3-0	failed	high	FALSE
crc-AWRR	AWRR-3.2	failed	failed	failed	3-0	failed	high	FALSE
crc-AWRR	AWRR-3.3	failed	failed	failed	3-0	failed	high	FALSE
crc-AWRR	AWRR-3.4	failed	failed	failed	3-0	failed	high	FALSE
crc-AWRR	AWRR-3.5	failed	failed	failed	3-0	failed	high	FALSE
crc-AWRR	AWRR-3.6	failed	failed	failed	3-0	failed	high	FALSE
crc-AWRR	AWRR-4	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-01.1	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-01.2	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-01.3	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-01.4	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-02.1	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-02.2	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-03	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-04.1	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-04.2	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-04.3	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-CA	CA-05.1	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-11	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-13.1	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-13.2	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-14	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-15	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-19.2	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-20.3	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-21	failed	failed	failed	3-0	failed	high	FALSE
crc-CA	CA-22	failed	failed	failed	3-0	failed	high	FALSE
crc-CM	CM-10	failed	failed	failed	3-0	failed	high	FALSE
crc-CM	CM-11	failed	failed	failed	3-0	failed	high	FALSE
crc-CM	CM-12	failed	failed	failed	3-0	failed	high	FALSE
crc-CM	CM-13	failed	failed	failed	3-0	failed	high	FALSE
crc-CM	CM-4	failed	failed	failed	3-0	failed	high	FALSE
crc-DE	DE-0	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-DE	DE-14.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-DE	DE-14.2	failed	failed	failed	3-0	failed	high	FALSE
crc-DE	DE-18	failed	failed	failed	3-0	failed	high	FALSE
crc-DE	DE-20.2	failed	failed	failed	3-0	failed	high	FALSE
crc-DE	DE-3	failed	failed	failed	3-0	failed	high	FALSE
crc-DE	DE-30	failed	failed	failed	3-0	failed	high	FALSE
crc-DE	DE-31	failed	failed	failed	3-0	failed	high	FALSE
crc-DE	DE-35	failed	failed	failed	3-0	failed	high	FALSE
crc-DE	DE-36.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-DE	DE-36.2	failed	failed	failed	3-0	failed	high	FALSE
crc-EV	EV-01	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-EV	EV-02	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-EV	EV-03	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-EV	EV-05.4	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-EV	EV-05.5	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-EV	EV-06.1	failed	failed	failed	3-0	failed	high	FALSE
crc-EV	EV-06.2	failed	failed	failed	3-0	failed	high	FALSE
crc-EV	EV-06.3	failed	failed	failed	3-0	failed	high	FALSE
crc-EV	EV-06.4	failed	failed	failed	3-0	failed	high	FALSE
crc-EV	EV-06.5	failed	failed	failed	3-0	failed	high	FALSE
crc-EV	EV-07.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-EV	EV-08.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-EV	EV-08.2	failed	failed	failed	3-0	failed	high	FALSE
crc-EV	EV-09	failed	failed	failed	3-0	failed	high	FALSE
crc-EV	EV-10	failed	failed	failed	3-0	failed	high	FALSE
crc-EV	EV-11.1	failed	failed	failed	3-0	failed	high	FALSE
crc-EV	EV-11.3	failed	failed	failed	3-0	failed	high	FALSE
crc-EV	EV-12	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-EV	EV-13	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-EV	EV-14	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-EV	EV-18	failed	failed	failed	3-0	failed	high	FALSE
crc-F	F-1.1	failed	failed	failed	3-0	failed	high	FALSE
crc-F	F-1.2	failed	failed	failed	3-0	failed	high	FALSE
crc-F	F-2.1	failed	failed	failed	3-0	failed	high	FALSE
crc-F	F-2.2	failed	failed	failed	3-0	failed	high	FALSE
crc-F	F-2.3	failed	failed	failed	3-0	failed	high	FALSE
crc-F	F-3	failed	failed	failed	3-0	failed	high	FALSE
crc-F	F-4	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-F	F-5.1	failed	failed	failed	3-0	failed	high	FALSE
crc-F	F-5.2	failed	failed	failed	3-0	failed	high	FALSE
crc-F	F-6	failed	failed	failed	3-0	failed	high	FALSE
crc-IW	IW-1.1	failed	failed	failed	3-0	failed	high	FALSE
crc-IW	IW-1.2	failed	failed	failed	3-0	failed	high	FALSE
crc-LDE	LDE-1	failed	failed	failed	3-0	failed	high	FALSE
crc-OWB	OWB-2	failed	failed	failed	3-0	failed	high	FALSE
crc-OWB	OWB-3	failed	failed	failed	3-0	failed	high	FALSE
crc-OWB	OWB-7	failed	failed	failed	3-0	failed	high	FALSE
crc-OWB	OWB-8	failed	failed	failed	3-0	failed	high	FALSE
crc-PB	PB-2	failed	failed	failed	3-0	failed	high	FALSE
crc-PR	PR-7	failed	failed	failed	3-0	failed	high	FALSE
crc-PR	PR-8	failed	failed	failed	3-0	failed	high	FALSE
crc-PR	PR-9	failed	failed	failed	3-0	failed	high	FALSE
crc-RW	RW-1	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-11.2	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-13	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-SP	SP-14	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-15.1	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-15.2	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-15.3	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-15.4	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-16	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-18	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-19.1	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-19.2	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-20	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-23.1	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-24	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-25	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-26.1	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-27	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-30.1	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-30.2	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-30.3	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-31.1	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-32.1	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-32.2	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-32.3	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-33.1	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-36.2	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-SP	SP-40	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-41	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-SP	SP-42	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-SP	SP-43	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-47	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-5	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-50	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-51	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-6	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-7	failed	failed	failed	3-0	failed	high	FALSE
crc-SP	SP-8	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-TPW	TPW-10.1	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-10.2	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-10.3	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-11	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-12.1	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-12.2	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-12.3	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-12.4	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-13.1	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-13.2	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-13.3	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-13.4	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-13.5	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-13.6	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-14.1	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-14.2	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-15.1	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-15.2	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-15.3	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-16	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-17.2	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-17.3	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-18	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-19	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-2	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-3	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-4	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-6	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-7.1	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-7.2	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-8	failed	failed	failed	3-0	failed	high	FALSE
crc-TPW	TPW-9	failed	failed	failed	3-0	failed	high	FALSE
crc-WQ	WQ-0	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-WQ	WQ-10	failed	failed	failed	3-0	failed	high	FALSE
crc-WQ	WQ-11	failed	failed	failed	3-0	failed	high	FALSE
crc-WQ	WQ-12	failed	failed	failed	3-0	failed	high	FALSE
crc-WQ	WQ-13	failed	failed	failed	3-0	failed	high	FALSE
crc-WQ	WQ-14.2	failed	failed	failed	3-0	failed	high	FALSE
crc-WQ	WQ-14.3	failed	failed	failed	3-0	failed	high	FALSE
crc-WQ	WQ-15	failed	failed	failed	3-0	failed	high	FALSE
crc-WQ	WQ-4	failed	failed	failed	3-0	failed	high	FALSE
crc-WQ	WQ-6	failed	failed	failed	3-0	failed	high	FALSE
crc-WQ	WQ-8.2	failed	failed	failed	3-0	failed	high	FALSE
crc-WQ	WQ-8.3	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-1	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-10	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-2	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-3	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-4	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-5	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-6	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-7	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-8	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-9	failed	failed	failed	3-0	failed	high	FALSE
